2026-06-03 01:28:50 | DEBUG    | ob_detector | OBs detected: 32 total | 15 active (6 bull / 9 bear)
2026-06-03 01:29:20 | DEBUG    | ob_detector | OBs detected: 32 total | 15 active (6 bull / 9 bear)
2026-06-03 01:29:50 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (7 bull / 9 bear)
2026-06-03 01:30:21 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (5 bull / 11 bear)
2026-06-03 01:30:51 | DEBUG    | ob_detector | OBs detected: 32 total | 15 active (6 bull / 9 bear)
2026-06-03 01:31:22 | DEBUG    | ob_detector | OBs detected: 32 total | 15 active (6 bull / 9 bear)
2026-06-03 01:31:52 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:32:23 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:32:53 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:33:24 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:33:54 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:34:24 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 01:34:55 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (7 bull / 9 bear)
2026-06-03 01:35:25 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (7 bull / 9 bear)
2026-06-03 01:35:56 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (7 bull / 9 bear)
2026-06-03 01:36:26 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (7 bull / 9 bear)
2026-06-03 01:36:57 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (7 bull / 9 bear)
2026-06-03 01:37:27 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (8 bull / 9 bear)
2026-06-03 01:37:57 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (8 bull / 9 bear)
2026-06-03 01:38:28 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (8 bull / 9 bear)
2026-06-03 01:38:58 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (8 bull / 9 bear)
2026-06-03 01:39:29 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (8 bull / 9 bear)
2026-06-03 01:39:59 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (8 bull / 9 bear)
2026-06-03 01:40:29 | DEBUG    | ob_detector | OBs detected: 33 total | 18 active (9 bull / 9 bear)
2026-06-03 01:40:59 | DEBUG    | ob_detector | OBs detected: 33 total | 18 active (9 bull / 9 bear)
2026-06-03 01:41:30 | DEBUG    | ob_detector | OBs detected: 33 total | 18 active (9 bull / 9 bear)
2026-06-03 01:42:00 | DEBUG    | ob_detector | OBs detected: 33 total | 18 active (9 bull / 9 bear)
2026-06-03 01:42:31 | DEBUG    | ob_detector | OBs detected: 33 total | 17 active (8 bull / 9 bear)
2026-06-03 01:43:02 | DEBUG    | ob_detector | OBs detected: 33 total | 17 active (8 bull / 9 bear)
2026-06-03 01:43:31 | DEBUG    | ob_detector | OBs detected: 33 total | 17 active (8 bull / 9 bear)
2026-06-03 01:44:02 | DEBUG    | ob_detector | OBs detected: 33 total | 17 active (8 bull / 9 bear)
2026-06-03 01:44:32 | DEBUG    | ob_detector | OBs detected: 33 total | 18 active (9 bull / 9 bear)
2026-06-03 01:45:03 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:45:33 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:46:03 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:46:33 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:47:04 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:47:34 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:48:05 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:48:35 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:49:06 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:49:36 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:50:07 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:50:37 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:51:07 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:51:38 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:52:08 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:52:39 | DEBUG    | ob_detector | OBs detected: 34 total | 18 active (9 bull / 9 bear)
2026-06-03 01:53:09 | DEBUG    | ob_detector | OBs detected: 34 total | 18 active (9 bull / 9 bear)
2026-06-03 01:53:39 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:54:10 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:54:40 | DEBUG    | ob_detector | OBs detected: 34 total | 18 active (9 bull / 9 bear)
2026-06-03 01:55:11 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (10 bull / 9 bear)
2026-06-03 01:55:41 | DEBUG    | ob_detector | OBs detected: 34 total | 18 active (9 bull / 9 bear)
2026-06-03 01:56:12 | DEBUG    | ob_detector | OBs detected: 34 total | 17 active (8 bull / 9 bear)
2026-06-03 01:56:42 | DEBUG    | ob_detector | OBs detected: 34 total | 16 active (7 bull / 9 bear)
2026-06-03 01:57:13 | DEBUG    | ob_detector | OBs detected: 34 total | 16 active (7 bull / 9 bear)
2026-06-03 01:57:43 | DEBUG    | ob_detector | OBs detected: 34 total | 18 active (6 bull / 12 bear)
2026-06-03 01:58:13 | DEBUG    | ob_detector | OBs detected: 34 total | 18 active (6 bull / 12 bear)
2026-06-03 01:58:44 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (7 bull / 12 bear)
2026-06-03 01:59:14 | DEBUG    | ob_detector | OBs detected: 34 total | 19 active (7 bull / 12 bear)
2026-06-03 01:59:45 | DEBUG    | ob_detector | OBs detected: 34 total | 16 active (7 bull / 9 bear)
2026-06-03 02:00:15 | DEBUG    | ob_detector | OBs detected: 33 total | 16 active (7 bull / 9 bear)
2026-06-03 02:00:45 | DEBUG    | ob_detector | OBs detected: 33 total | 16 active (7 bull / 9 bear)
2026-06-03 02:01:16 | DEBUG    | ob_detector | OBs detected: 33 total | 16 active (7 bull / 9 bear)
2026-06-03 02:01:46 | DEBUG    | ob_detector | OBs detected: 33 total | 16 active (7 bull / 9 bear)
2026-06-03 02:02:17 | DEBUG    | ob_detector | OBs detected: 33 total | 16 active (7 bull / 9 bear)
2026-06-03 02:02:48 | DEBUG    | ob_detector | OBs detected: 33 total | 16 active (7 bull / 9 bear)
2026-06-03 02:03:18 | DEBUG    | ob_detector | OBs detected: 33 total | 17 active (8 bull / 9 bear)
2026-06-03 02:03:48 | DEBUG    | ob_detector | OBs detected: 33 total | 17 active (8 bull / 9 bear)
2026-06-03 02:04:18 | DEBUG    | ob_detector | OBs detected: 33 total | 17 active (8 bull / 9 bear)
2026-06-03 02:04:49 | DEBUG    | ob_detector | OBs detected: 33 total | 17 active (8 bull / 9 bear)
2026-06-03 02:05:19 | DEBUG    | ob_detector | OBs detected: 33 total | 18 active (9 bull / 9 bear)
2026-06-03 02:05:50 | DEBUG    | ob_detector | OBs detected: 33 total | 18 active (9 bull / 9 bear)
2026-06-03 02:06:20 | DEBUG    | ob_detector | OBs detected: 33 total | 18 active (9 bull / 9 bear)
2026-06-03 02:06:51 | DEBUG    | ob_detector | OBs detected: 33 total | 18 active (9 bull / 9 bear)
2026-06-03 02:07:21 | DEBUG    | ob_detector | OBs detected: 33 total | 17 active (8 bull / 9 bear)
2026-06-03 02:07:51 | DEBUG    | ob_detector | OBs detected: 33 total | 18 active (9 bull / 9 bear)
2026-06-03 02:08:22 | DEBUG    | ob_detector | OBs detected: 33 total | 18 active (9 bull / 9 bear)
